Course 1,Course 2,Take C1 Only,Take C1 Only Passed,Take Both,Take Both Passed C1,R(C1 only),R(Both),Toxic Or Synergistic
ME  325,BAE 417,501,434,63,56,0.8662674650698603,0.8888888888888888,-0.02262142381902854
ME  325,ME  599,1104,949,44,42,0.8596014492753623,0.9545454545454546,-0.09494400527009228
ME  325,ME  321,1011,884,171,140,0.874381800197824,0.8187134502923976,0.05566834990542635
ME  325,BAE 447,472,408,92,82,0.864406779661017,0.8913043478260869,-0.02689756816506994
ME  325,STA 381,1076,929,65,55,0.8633828996282528,0.8461538461538461,0.01722905347440662
ME  325,ME  501,1007,865,152,135,0.858987090367428,0.8881578947368421,-0.029170804369414105
ME  325,ME  344,452,387,683,591,0.8561946902654868,0.8653001464128843,-0.00910545614739755
ME  325,BAE 400,472,405,92,85,0.8580508474576272,0.9239130434782609,-0.0658621960206337
ME  325,BAE 305,545,465,37,34,0.8532110091743119,0.918918918918919,-0.06570790974460705
ME  325,BAE 402,693,598,98,87,0.862914862914863,0.8877551020408163,-0.024840239125953345
ME  325,EM  313,1139,986,74,65,0.8656716417910447,0.8783783783783784,-0.012706736587333678
ME  325,ME  340,549,472,621,537,0.8597449908925319,0.8647342995169082,-0.0049893086243762985
ME  325,WRD 204,912,790,41,36,0.8662280701754386,0.8780487804878049,-0.011820710312366312
ME  325,EE  305,1132,977,32,28,0.8630742049469965,0.875,-0.011925795053003507
ME  325,ME  411,869,744,87,79,0.856156501726122,0.9080459770114943,-0.051889475285372244
ME  325,MSE 201,1081,926,55,52,0.8566142460684552,0.9454545454545454,-0.08884029938609028
ME  325,MA  322,1031,889,182,162,0.8622696411251213,0.8901098901098901,-0.02784024898476878
ME  325,EM  302,1156,1000,36,30,0.8650519031141869,0.8333333333333334,0.03171856978085352
ME  325,ME  310,294,253,841,725,0.8605442176870748,0.8620689655172413,-0.0015247478301665396
NFS 302,NFS 311,47,46,77,76,0.9787234042553191,0.987012987012987,-0.00828958275766789
NFS 302,NFS 301,83,81,41,41,0.9759036144578314,1.0,-0.02409638554216864
NFS 302,NFS 312,38,37,86,85,0.9736842105263158,0.9883720930232558,-0.014687882496939975
NFS 302,HES 100,186,183,47,47,0.9838709677419355,1.0,-0.016129032258064502
NFS 302,PGY 206,183,180,36,36,0.9836065573770492,1.0,-0.016393442622950838
HIS 130,CIS 111,218,172,55,49,0.7889908256880734,0.8909090909090909,-0.10191826522101743
HIS 130,WRD 111,223,176,50,45,0.7892376681614349,0.9,-0.1107623318385651
COM 325,COM 351,375,362,74,71,0.9653333333333334,0.9594594594594594,0.005873873873873947
COM 325,COM 249,416,400,53,52,0.9615384615384616,0.9811320754716981,-0.019593613933236553
COM 325,COM 365,378,362,48,47,0.9576719576719577,0.9791666666666666,-0.021494708994708955
COM 325,COM 352,210,198,35,34,0.9428571428571428,0.9714285714285714,-0.02857142857142858
COM 325,COM 326,119,116,60,56,0.9747899159663865,0.9333333333333333,0.041456582633053185
COM 325,LIN 211,429,413,40,39,0.9627039627039627,0.975,-0.012296037296037232
COM 325,COM 482,438,421,31,31,0.9611872146118722,1.0,-0.038812785388127824
COM 325,COM 315,255,244,54,51,0.9568627450980393,0.9444444444444444,0.012418300653594838
MLS 464,MLS 462,0,0,66,66,NaN,1.0,NaN
MLS 464,MLS 463,0,0,66,66,NaN,1.0,NaN
MLS 464,MLS 430,0,0,66,66,NaN,1.0,NaN
ID  375,ID  366,4,3,42,42,0.75,1.0,-0.25
BAE 202,BIO 152,220,206,33,32,0.9363636363636364,0.9696969696969697,-0.033333333333333326
BAE 202,PHY 242,151,136,102,102,0.9006622516556292,1.0,-0.09933774834437081
BAE 202,BAE 103,150,142,37,34,0.9466666666666667,0.918918918918919,0.027747747747747686
BAE 202,PHY 232,135,124,118,114,0.9185185185185185,0.9661016949152542,-0.047583176396735705
BAE 202,ME  220,189,176,64,62,0.9312169312169312,0.96875,-0.037533068783068835
BAE 202,EM  221,155,143,98,95,0.9225806451612903,0.9693877551020408,-0.046807109940750435
BAE 202,MA  214,150,137,103,101,0.9133333333333333,0.9805825242718447,-0.06724919093851134
BAE 202,EM  302,219,204,34,34,0.9315068493150684,1.0,-0.06849315068493156
RTM 345,MKT 300,97,96,31,31,0.9896907216494846,1.0,-0.010309278350515427
MNG 335,MNG 211,55,50,57,50,0.9090909090909091,0.8771929824561403,0.03189792663476876
MNG 335,MNG 303,131,118,42,38,0.9007633587786259,0.9047619047619048,-0.003998545983278867
MNG 335,CME 330,77,67,35,33,0.8701298701298701,0.9428571428571428,-0.07272727272727275
MNG 335,MNG 332,134,119,39,37,0.8880597014925373,0.9487179487179487,-0.060658247225411355
MNG 335,MNG 302,53,46,48,44,0.8679245283018868,0.9166666666666666,-0.04874213836477981
MNG 335,MNG 301,50,44,62,56,0.88,0.9032258064516129,-0.023225806451612874
MNG 335,MNG 463,27,24,34,32,0.8888888888888888,0.9411764705882353,-0.05228758169934644
MNG 335,EM  302,135,122,38,34,0.9037037037037037,0.8947368421052632,0.008966861598440512
EDS 547,SEM 328,180,178,48,48,0.9888888888888889,1.0,-0.011111111111111072
EDS 547,EDC 322,195,193,45,45,0.9897435897435898,1.0,-0.01025641025641022
EDS 547,EDC 339,194,192,46,46,0.9896907216494846,1.0,-0.010309278350515427
EDS 547,KHP 380,198,196,42,42,0.98989898989899,1.0,-0.010101010101010055
EDS 547,EDC 323,165,164,75,74,0.9939393939393939,0.9866666666666667,0.0072727272727272085
EDS 547,SEM 337,183,181,45,45,0.9890710382513661,1.0,-0.010928961748633892
EDS 547,EDC 326,192,190,48,48,0.9895833333333334,1.0,-0.01041666666666663
EDS 547,EDC 317,174,173,66,65,0.9942528735632183,0.9848484848484849,0.00940438871473348
EDS 547,EDC 329,142,141,98,97,0.9929577464788732,0.9897959183673469,0.0031618281115263214
EDS 547,KHP 382,184,183,56,55,0.9945652173913043,0.9821428571428571,0.012422360248447228
LA  841,LA  872,3,3,33,32,1.0,0.9696969696969697,0.030303030303030276
CE  401,CE  579,194,192,72,71,0.9896907216494846,0.9861111111111112,0.0035796105383734123
CE  401,CE  517,222,220,43,43,0.990990990990991,1.0,-0.009009009009009028
CE  401,CE  382,439,436,65,65,0.9931662870159453,1.0,-0.006833712984054663
CE  401,CE  531,202,201,60,60,0.995049504950495,1.0,-0.004950495049504955
CE  401,CE  534,227,226,35,35,0.9955947136563876,1.0,-0.004405286343612369
CE  401,STA 381,495,492,32,32,0.9939393939393939,1.0,-0.0060606060606061
CE  401,CE  486G,248,247,54,54,0.9959677419354839,1.0,-0.0040322580645161255
CE  401,CE  381,484,480,44,44,0.9917355371900827,1.0,-0.008264462809917328
CE  401,CE  471G,348,346,179,178,0.9942528735632183,0.994413407821229,-0.00016053425801065835
CE  401,CS  221,473,470,31,31,0.9936575052854123,1.0,-0.006342494714587699
CE  401,CE  482,385,382,119,119,0.9922077922077922,1.0,-0.007792207792207795
CE  401,CE  461G,334,332,194,192,0.9940119760479041,0.9896907216494846,0.004321254398419572
CE  401,CE  331,490,487,37,37,0.9938775510204082,1.0,-0.006122448979591799
CE  401,CE  341,478,474,50,50,0.9916317991631799,1.0,-0.008368200836820106
CE  401,CE  329,109,109,63,62,1.0,0.9841269841269841,0.015873015873015928
CE  401,CE  487G,212,211,50,50,0.9952830188679245,1.0,-0.004716981132075526
