<<<<<<< HEAD
Curriculum,Circuits I Design Pattern,,,,,,,,,
Degree Plan,Precalculus ready,,,,,,,,,
Institution,,,,,,,,,,
Degree Type,,,,,,,,,,
System Type,,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Precalculus,,,,,,3,,,1
2,Calculus I,,,1,,,4,,,2
3,Calculus II,,,2,,,4,,,3
4,Physics I,,,2,,,4,,,4
5,Programming I,,,2,,,3,,,4
6,Calculus III,,,3,,,4,,,4
7,Differential Eqs.,,,3,,,3,,,5
=======
Curriculum,Circuits I Design Pattern,,,,,,,,,
Degree Plan,Precalculus ready,,,,,,,,,
Institution,,,,,,,,,,
Degree Type,,,,,,,,,,
System Type,,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Precalculus,,,,,,3,,,1
2,Calculus I,,,1,,,4,,,2
3,Calculus II,,,2,,,4,,,3
4,Physics I,,,2,,,4,,,4
5,Programming I,,,2,,,3,,,4
6,Calculus III,,,3,,,4,,,4
7,Differential Eqs.,,,3,,,3,,,5
>>>>>>> origin/master
8,Circuits I,,,"5,4,7",,,3,,,5
