Curriculum,Underwater Basket Weaving,,,,,,,,,
Degree Plan,Precalc Ready Students,,,,,,,,,
Institution,ACME State University,,,,,,,,,
Degree Type,AA,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,50.0712,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Introduction to Baskets,BW,101,,,,3,,,1
2,Swimming,PE,115,,,,3,,,1
3,Introductory Calculus w/ Basketry Applications,MA,116,9,,,4,,,2
4,Basic Basket Forms,BW,111,1,,5,3,,,2
5,Basic Basket Forms Lab,BW,111L,,,,1,,,2
6,Advanced Basketry,BW,201,4;5,3,,3,,,3
7,Basket Materials & Decoration,BW,214,1,,,3,,,3
8,Underwater Weaving,BW,301,2,7,,3,,,3
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
9,Precalculus w/ Basketry Applications,MA,110,,,,3,,,1
