Course 1,Course 2,Take C1 Only,Take C1 Only Passed,Take Both,Take Both Passed C1,R(C1 only),R(Both),Toxic Or Synergistic
CHE 111,CHE 109,7664,5747,84,2,0.74986952,0.023809524,0.726059996
CHE 105,CHE 109,10282,7428,112,1,0.722427543,0.008928571,0.713498972
MA  193,A&S 300,9700,7273,37,4,0.749793814,0.108108108,0.641685706
MA  113,A&S 300,9924,6452,40,4,0.650141072,0.1,0.550141072
CHE 105,A&S 121,3727,2642,36,6,0.708881138,0.166666667,0.542214471
A&S 100,NUR 882,5107,4223,35,10,0.826904249,0.285714286,0.541189963
CHE 107,ASC 325,5871,3854,41,6,0.656446943,0.146341463,0.510105479
ANA 109,UK  090,2594,1955,53,16,0.753662298,0.301886792,0.451775505
CHE 107,ASC 310,12290,8689,31,8,0.706997559,0.258064516,0.448933043
CHE 232,A&S 100,4779,3449,50,15,0.7216991,0.3,0.4216991
PGY 206,BIO 102,5226,3989,32,11,0.76329889,0.34375,0.41954889
ECO 201,UK  090,12170,10569,31,14,0.868447001,0.451612903,0.416834098
MA  193,A&S 150,4849,3529,32,10,0.727778923,0.3125,0.415278923
ANA 109,UK  100,4692,3582,48,17,0.76342711,0.354166667,0.409260443
CHE 105,ASC 320,21458,15087,34,10,0.703094417,0.294117647,0.40897677
MA  194,A&S 100,5420,4243,163,62,0.782841328,0.380368098,0.40247323
ANA 209,BIO 102,7400,5164,50,15,0.697837838,0.3,0.397837838
PGY 206,MA  111,5202,3979,56,21,0.764898116,0.375,0.389898116
CHE 105,PLS 366,23142,16060,32,10,0.69397632,0.3125,0.38147632
MA  214,A&S 100,4545,3354,39,14,0.737953795,0.358974359,0.378979436
CHE 105,UK  150,2802,1826,33,9,0.651677373,0.272727273,0.378950101
MA  213,CS  485G,5026,3838,36,14,0.763629129,0.388888889,0.37474024
BIO 103,AAS 200,11220,9253,31,14,0.824688057,0.451612903,0.373075154
CHE 105,GEO 130,23214,16096,31,10,0.693374688,0.322580645,0.370794043
MA  113,A&S 150,5512,3505,44,12,0.635885341,0.272727273,0.363158068
ECO 401,FR  101,2848,2238,35,15,0.785814607,0.428571429,0.357243178
BIO 208,CHE 103,5414,4770,61,32,0.881049132,0.524590164,0.356458968
PSY 100,A&S 140,5117,4182,39,18,0.817275748,0.461538462,0.355737286
JOU 101,AST 192,1849,1608,31,16,0.869659275,0.516129032,0.353530243
PSY 100,EPE 174,21680,18079,131,63,0.833902214,0.480916031,0.352986183
CS  115,BIO 102,3993,2727,35,12,0.682945154,0.342857143,0.340088011
PGY 206,CHE 104,2513,1926,96,41,0.766414644,0.427083333,0.339331311
ECO 202,GEN 200,5182,4165,34,16,0.803743728,0.470588235,0.333155493
MA  114,A&S 100,6124,4274,194,71,0.697909863,0.365979381,0.331930481
CHE 107,PLS 366,14497,10001,47,17,0.689866869,0.361702128,0.328164741
ANA 209,HIS 108,7404,5162,46,17,0.697190708,0.369565217,0.32762549
ME  151,A&S 100,1864,1525,59,29,0.818133047,0.491525424,0.326607623
ACC 201,ASC 310,9478,6049,48,15,0.638214813,0.3125,0.325714813
PSY 100,UK  130,5279,4325,42,21,0.819283955,0.5,0.319283955
ECO 202,MA  111,14452,11678,47,23,0.808054249,0.489361702,0.318692546
CHE 230,ASC 378,5906,4732,58,28,0.801219099,0.482758621,0.318460479
HIS 108,UK  100,7497,6095,105,52,0.812991863,0.495238095,0.317753768
MA  193,A&S 100,8469,6465,601,268,0.763372299,0.445923461,0.317448838
CLA 135,EPE 174,4061,3028,42,18,0.745629155,0.428571429,0.317057727
PGY 412G,CHE 104,984,621,35,11,0.631097561,0.314285714,0.316811847
HIS 105,MA  108R,1058,864,36,18,0.816635161,0.5,0.316635161
ANA 209,PS  101,7408,5163,42,16,0.696949244,0.380952381,0.315996863
CS  115,MA  123,4036,2761,38,14,0.684093162,0.368421053,0.315672109
CHE 105,KHP 445,23468,16279,37,14,0.693667973,0.378378378,0.315289595
SPA 101,UK  090,3654,3144,55,30,0.860426929,0.545454545,0.314972384
